Key;Name;VM_ID;Request number;Description;OS;DNS Name;Server Type;VLANs;IP address;DNS;Gateway;Subnet;vHDD;vCPU;vRAM;Location VM;Lifetime;Services;Cluster;First Administrator;Other Administrators;Owner;AD Admin Group;Diagnostics;Last OS Update Time;Security scan;Status;Created;Updated;Deleted;Deletion date
CMDB-305954;MMZ-SRV-CTXADC2_1;VirtualMachine-vm-60482;;;;MMZ-SRV-CTXADC2;;;;;;;31;2;2;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;25.01.21;2.09.21;true;
CMDB-305964;MMZ-SRV-CTXADM1;VirtualMachine-vm-61852;;;;;;;10.25.4.202;10.25.0.13,10.25.0.14;;;632;8;32;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;25.01.21;2.09.21;true;
CMDB-305856;MMZ-SRV-CTXADM2;VirtualMachine-vm-61853;;Citrix Application Delivery Managament;;;;;10.25.4.203,10.25.4.204;10.25.0.13;;;632;8;32;;;Терминальный доступ;;Слуднева Екатерина Николаевна;Ахмедов Аскер Рамисович;;;;;;Stopped;25.01.21;2.09.21;true;
CMDB-76791;MMZ-SRV-CTXDC1;VirtualMachine-vm-36340;;CITRIX управляющий сервер;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXDC1.npo.izhmash;Продуктив;;10.25.4.194;10.25.0.13,10.25.0.14;10.25.4.193;;54;2;4;Заводоуправление;;Терминальный доступ;;Рахманный Александр Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;4.08.21;false;
CMDB-116441;MMZ-SRV-CTXDC2;VirtualMachine-vm-39961;;CITRIX управляющий сервер;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXDC2.npo.izhmash;Продуктив;;10.25.4.195;10.25.0.13,10.25.0.14;10.25.4.193;;44;2;4;Заводоуправление;;Терминальный доступ;;Слуднева Екатерина Николаевна;Ахмедов Аскер Рамисович;;AD-MMZ-CompanyAdmin;;;;Running;3.07.20;4.08.21;false;
CMDB-116451;MMZ-SRV-CTXDFS1;VirtualMachine-vm-55492;RFC-8665;CITRIX файловый сервер (Документы);Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXDFS1.npo.izhmash;Продуктив;SERV_PUBCTX_3305;10.25.30.162;10.25.0.13,10.25.0.14;10.25.30.161;;254;2;4;Заводоуправление;;Терминальный доступ;;Слуднева Екатерина Николаевна;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;3.07.20;4.08.21;false;
CMDB-116452;MMZ-SRV-CTXDFS2;VirtualMachine-vm-58120;RFC-8730;CITRIX файловый сервер (Документы);Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXDFS2.npo.izhmash;Продуктив;SERV_PUBCTX_3305;10.25.30.163;10.25.0.13,10.25.0.14;10.25.30.161;;254;2;4;Заводоуправление;;Терминальный доступ;;Слуднева Екатерина Николаевна;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;3.07.20;4.08.21;false;
CMDB-339559;MMZ-SRV-CTXDFS3;VirtualMachine-vm-133746;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXDFS3.npo.izhmash;;;10.25.30.166;10.25.0.13,10.25.0.14;10.25.30.161;;154;2;4;;;;;;;;;;;;Running;5.10.21;5.10.21;;
CMDB-339558;MMZ-SRV-CTXDFS4;VirtualMachine-vm-133747;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXDFS4.npo.izhmash;;;10.25.30.167;10.25.0.13,10.25.0.14;10.25.30.161;;154;2;4;;;;;;;;;;;;Running;5.10.21;5.10.21;;
CMDB-305968;MMZ-SRV-CTXIMG0;VirtualMachine-vm-129380;;;;;;;169.254.95.237;fec0:0:0:ffff::1,fec0:0:0:ffff::2,fec0:0:0:ffff::3;;;100;8;32;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;25.01.21;10.09.21;true;
CMDB-337472;MMZ-SRV-CTXIMG01;VirtualMachine-vm-129380;;;;;;;;;;;100;8;32;;;;;;;;;;;;Stopped;16.09.21;17.09.21;true;
CMDB-336682;MMZ-SRV-CTXIMG1;VirtualMachine-vm-129208;;FARM-UD Image 09/2021;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXIMG1.npo.izhmash;;;10.25.6.226;10.25.0.13,10.25.0.14;10.25.6.225;;132;8;32;;;;;;;;;;;;Running;9.09.21;1.10.21;;
CMDB-305974;MMZ-SRV-CTXIMG1_1;;;FARM-UD Template (2020-12);Microsoft Windows Server 2016 or later (64-bit);WIN-Q5U2UV7BN7R;;;169.254.164.199;fec0:0:0:ffff::1,fec0:0:0:ffff::2,fec0:0:0:ffff::3;;;132;8;32;;;;;;;;;;;;Stopped;25.01.21;2.03.21;true;
CMDB-305948;MMZ-SRV-CTXIMG1_2;;;FARM-ZK Template (2020-12);Microsoft Windows Server 2016 or later (64-bit);WIN-TUG2N2MO6KI;;;169.254.94.216;fec0:0:0:ffff::1,fec0:0:0:ffff::2,fec0:0:0:ffff::3;;;378;16;128;;;;;;;;;;;;Stopped;25.01.21;2.03.21;true;
CMDB-305877;MMZ-SRV-CTXIMG1_3;;;FARM-OK Template (2020-12);Microsoft Windows Server 2016 or later (64-bit);WIN-EUHD147KLOU;;;10.25.6.130;10.25.0.13,10.25.0.14;10.25.6.129;;132;8;32;;;Удалённый доступ (RDS & VPN);;Слуднева Екатерина Николаевна;Грибков Алексей Константинович;;;;;;Stopped;25.01.21;2.03.21;true;
CMDB-305975;MMZ-SRV-CTXIMG1_4;;;FARM-ADM-MMZ Template (2020-12);Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH21;;;169.254.41.81;;;;116;4;16;;;;;;;;;;;;Stopped;25.01.21;2.03.21;true;
CMDB-305951;MMZ-SRV-CTXIMG2_1;VirtualMachine-vm-63284;;FARM-OK Template;;MMZ-SRV-CTXIMG2.npo.izhmash;;;;;;;104;8;32;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;25.01.21;2.09.21;true;
CMDB-336836;MMZ-SRV-CTXIMG3;VirtualMachine-vm-129382;;;Microsoft Windows Server 2016 or later (64-bit);WIN-4CAQ3H5OHK6;;;169.254.171.169;fec0:0:0:ffff::1,fec0:0:0:ffff::2,fec0:0:0:ffff::3;;;182;8;32;;;;;;;;;;;;Running;10.09.21;23.09.21;;
CMDB-314021;MMZ-SRV-CTXIMG3_1;VirtualMachine-vm-97853;;FARM-OK Template;;MMZ-SRV-CTXIMG1;;;169.254.101.33;10.25.0.13,10.25.0.14;10.25.6.129;;100;8;32;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;2.03.21;2.09.21;true;
CMDB-314022;MMZ-SRV-CTXIMG3_4;VirtualMachine-vm-97855;;"RDS_FARM1 SH-21 (Collection ""ADM-MMZ"")";;WIN-E1JJ9K5SQAH;;;169.254.97.193;fec0:0:0:ffff::1,fec0:0:0:ffff::2,fec0:0:0:ffff::3;10.25.6.177;;100;4;16;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;2.03.21;7.09.21;true;
CMDB-305969;MMZ-SRV-CTXIMG4;VirtualMachine-vm-63405;;FARM-UD Template;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXIMG4.npo.izhmash;;;10.25.6.235;10.25.0.13,10.25.0.14;10.25.6.225;;124;8;32;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;25.01.21;7.10.21;false;
CMDB-305977;MMZ-SRV-CTXIMG5;VirtualMachine-vm-131277;;Farm image PLM-NSI 09/2021;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXIMG5.npo.izhmash;;;10.25.6.130;10.25.0.13,10.25.0.14;10.25.6.129;10.24.76.0/24;83;8;32;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;25.01.21;7.10.21;true;
CMDB-305967;MMZ-SRV-CTXIMG5_1;VirtualMachine-vm-55745;;;;MMZ-SRV-CTXIMG5;;;;;;;253;16;128;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;25.01.21;7.09.21;true;
CMDB-116449;MMZ-SRV-CTXPR1;VirtualMachine-vm-57119;RFC-8637;CITRIX файловый сервер (Профили);Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXPR1.npo.izhmash;Продуктив;SERV_PUBCTX_3305;10.25.30.164;10.25.0.13,10.25.0.14;10.25.30.161;;194;2;4;Заводоуправление;;Терминальный доступ;;Слуднева Екатерина Николаевна;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;3.07.20;4.08.21;false;
CMDB-116450;MMZ-SRV-CTXPR2;VirtualMachine-vm-58121;RFC-8729;CITRIX файловый сервер (Профили);Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXPR2.npo.izhmash;Продуктив;SERV_PUBCTX_3305;10.25.30.165;10.25.0.13,10.25.0.14;10.25.30.161;;194;2;4;Заводоуправление;;Терминальный доступ;;Слуднева Екатерина Николаевна;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;3.07.20;4.08.21;false;
CMDB-337642;MMZ-SRV-CTXTMP1;VirtualMachine-vm-129380;;Template RDS-UD 09/2021;;;;;;;;;100;8;32;;;;;;;;;;;;Stopped;17.09.21;17.09.21;;
CMDB-338312;MMZ-SRV-CTXTMP2;VirtualMachine-vm-131639;;Template RDS-OK 09/2021;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH14;;;10.25.6.29,169.254.44.229;10.25.0.13,10.25.0.14;10.25.6.1;;132;8;32;;;;;;;;;;;;Running;23.09.21;27.09.21;;
CMDB-337641;MMZ-SRV-CTXTMP3;VirtualMachine-vm-130586;;;;;;;;;;;150;8;32;;;;;;;;;;;;Stopped;17.09.21;17.09.21;;
CMDB-116445;MMZ-SRV-CTXWEM1;VirtualMachine-vm-59505;RFC-8775;CITRIX управляющий сервер (Профили);Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXWEM1.npo.izhmash;Продуктив;SERV_MGMT_CTXDC_3046;10.25.4.198;10.25.0.13,10.25.0.14;10.25.4.193;;88;4;8;Заводоуправление;;Терминальный доступ;;Слуднева Екатерина Николаевна;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;3.07.20;4.08.21;false;
CMDB-116448;MMZ-SRV-CTXWEM2;VirtualMachine-vm-59832;;CITRIX управляющий сервер (Профили);Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTXWEM2.npo.izhmash;Продуктив;SERV_MGMT_CTXDC_3046;10.25.4.199;10.25.0.13,10.25.0.14;10.25.4.193;;88;4;8;Заводоуправление;;Терминальный доступ;;Слуднева Екатерина Николаевна;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;3.07.20;4.08.21;false;
CMDB-127586;MMZ-SRV-DBRAC1;VirtualMachine-vm-40849;;Oracle Cluster Node1;Oracle Linux 7 (64-bit);mmz-srv-dbrac1.npo.izhmash;Продуктив;SERV_DB_RAC_3087;10.25.8.210,10.25.8.213,10.25.8.218,10.26.8.210,169.254.69.85,10.26.9.8;10.25.0.13,10.25.0.14;10.25.8.209;10.26.9.0/27;274;4;20;;;PLM Teamcenter;;Перевозчиков Виталий Юрьевич [X];Щербинин Андрей Владимирович;;;;;;Running;18.08.20;7.10.21;false;
CMDB-127587;MMZ-SRV-DBRAC2;VirtualMachine-vm-40852;;Oracle Cluster Node2;Oracle Linux 7 (64-bit);mmz-srv-dbrac2.npo.izhmash;Продуктив;SERV_DB_RAC_3087;10.25.8.211,10.25.8.214,10.25.8.216,10.26.8.211,169.254.163.235;10.25.0.13,10.25.0.14;10.25.8.209;;274;4;20;;;PLM Teamcenter;;Перевозчиков Виталий Юрьевич [X];Щербинин Андрей Владимирович;;;;;;Running;18.08.20;7.10.21;false;
CMDB-127588;MMZ-SRV-DBRAC3;VirtualMachine-vm-40853;;Oracle Cluster Node3;Oracle Linux 7 (64-bit);mmz-srv-dbrac3.npo.izhmash;Продуктив;SERV_DB_RAC_3087;10.25.8.212,10.25.8.215,10.25.8.217,10.26.8.212,169.254.240.139;10.25.0.13,10.25.0.14;10.25.8.209;;274;4;20;;;PLM Teamcenter;;Перевозчиков Виталий Юрьевич [X];Щербинин Андрей Владимирович;;;;;;Running;18.08.20;7.10.21;false;
CMDB-76786;MMZ-SRV-DC1;VirtualMachine-vm-955;;Корпоративная служба каталога;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-DC1.npo.izhmash;Продуктив;;10.25.0.13;10.25.0.13,10.25.0.14;10.25.0.1;10.25.0.0/27;72;8;12;Заводоуправление;;Active Directory;;Щербинин Андрей Владимирович;Наумов Максим Станиславович [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;16.09.21;false;
CMDB-76785;MMZ-SRV-DC2;VirtualMachine-vm-956;;Корпоративная служба каталога;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-DC2.npo.izhmash;Продуктив;;10.25.0.14;10.25.0.14,10.25.0.13,127.0.0.1;10.25.0.1;10.25.0.0/27;72;8;12;Заводоуправление;;Active Directory;;Щербинин Андрей Владимирович;Наумов Максим Станиславович [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;16.09.21;false;
CMDB-312488;MMZ-SRV-DEV1;VirtualMachine-vm-95920;RFC-9646;;Debian GNU/Linux 9 (64-bit);mmz-srv-dev1.npo.izhmash;;;172.17.0.1,172.19.0.1,10.25.4.11,172.18.0.1,192.168.100.100,172.20.0.1;10.25.0.13;10.25.4.1;10.25.4.0/28,172.18.0.0/16,172.19.0.0/16,172.20.0.0/16,192.168.100.0/24;22;4;2;;;;;Кокорников Илья Владимирович;Щербинин Андрей Владимирович;;;;;;Running;17.02.21;7.10.21;false;
CMDB-322192;MMZ-SRV-DEV2;VirtualMachine-vm-108190;RFC-9952;Сервер скриптов, Git;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DEV2.npo.izhmash;;;10.25.2.10;10.25.0.13,10.25.0.14;10.25.2.1;10.25.2.0/27;88;4;8;;;;;Ахмедов Аскер Рамисович;Кокорников Илья Владимирович;;;;;;Running;11.05.21;13.07.21;false;
CMDB-329484;MMZ-SRV-DEV3;VirtualMachine-vm-119199;;;Ubuntu Linux (64-bit);mmz-srv-dev1;Продуктив;;10.25.2.14;10.25.0.13,10.25.0.14;10.25.2.1;10.25.2.0/28;192;2;32;;;;;Кокорников Илья Владимирович;Щербинин Андрей Владимирович;Кокорников Илья Владимирович;;;;;Running;12.07.21;27.07.21;false;
CMDB-76789;MMZ-SRV-DFS1;VirtualMachine-vm-1548;;файл-сервер, DFS с КК;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS1.npo.izhmash;Продуктив;;10.25.31.10;10.25.0.13,10.25.0.14,10.1.11.18,10.1.11.19,10.1.11.25;10.25.31.1;10.25.31.0/28;744;2;4;Заводоуправление;;Доступ к файлам (Диск L);;Щербинин Андрей Владимирович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;27.07.21;false;
CMDB-305960;MMZ-SRV-DFS10;VirtualMachine-vm-56175;;SQL Quorum Server;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS10.npo.izhmash;;;10.25.30.226;10.25.0.13,10.25.0.14;10.25.30.225;;64;2;4;;;Доступ к файлам;;Ахмедов Аскер Рамисович;Слуднева Екатерина Николаевна;;;;;;Running;25.01.21;14.07.21;false;
CMDB-305957;MMZ-SRV-DFS11;VirtualMachine-vm-67462;RFC-9038;Disk L, Project/SLUI;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS11.npo.izhmash;Продуктив;;10.25.30.14;10.25.0.13,10.25.0.14;10.25.30.1;10.25.30.0/27;654;2;4;;;Доступ к файлам (Диск L);;Слуднева Екатерина Николаевна;Ахмедов Аскер Рамисович;Кокорников Илья Владимирович;;;;;Running;25.01.21;13.07.21;false;
CMDB-314192;MMZ-SRV-DFS12;VirtualMachine-vm-98009;RFC-9693;файл-сервер, ОГТ;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS12.npo.izhmash;Продуктив;SERV_PDMCAD_524;10.25.24.12;10.25.0.13,10.25.0.14;10.25.24.1;10.25.24.0/27;404;2;4;Заводоуправление;;Доступ к файлам (Диск L);;Ахмедов Аскер Рамисович;Слуднева Екатерина Николаевна;Кокорников Илья Владимирович;AD-MMZ-CompanyAdmin;;;;Running;3.03.21;13.07.21;false;
CMDB-336361;MMZ-SRV-DFS13;VirtualMachine-vm-128863;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS13.npo.izhmash;;;10.25.24.13;10.25.0.13,10.25.0.14;10.25.24.1;10.25.24.0/27;654;2;4;;;;;Ахмедов Аскер Рамисович;Слуднева Екатерина Николаевна;;;;;;Running;7.09.21;17.09.21;false;
CMDB-76790;MMZ-SRV-DFS2;VirtualMachine-vm-1549;;файл-сервер, основной;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS2.npo.izhmash;Продуктив;;10.25.30.10;10.25.0.13,10.25.0.14;10.25.30.1;10.25.30.0/28;1624;2;4;Заводоуправление;;Доступ к файлам (Диск L);;Щербинин Андрей Владимирович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;27.07.21;false;
CMDB-76787;MMZ-SRV-DFS3;VirtualMachine-vm-1550;;файл-сервер, ОКБ;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS3.npo.izhmash;Продуктив;;10.25.24.10;10.25.0.13,10.25.0.14,10.25.0.5;10.25.24.1;10.25.24.0/27;1544;2;4;Заводоуправление;;Доступ к файлам (Диск L);;Щербинин Андрей Владимирович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;19.08.21;false;
CMDB-305873;MMZ-SRV-DFS4;VirtualMachine-vm-6340;;;Microsoft Windows Server 2012 (64-bit);;;;;10.25.0.5,10.25.0.6;10.25.25.1;;540;2;4;;;Доступ к файлам;;Ахмедов Аскер Рамисович;Слуднева Екатерина Николаевна;;;;;;Stopped;25.01.21;13.07.21;false;
CMDB-305982;MMZ-SRV-DFS5;VirtualMachine-vm-50488;RFC-8495;File Server for Project Information;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS5.npo.izhmash;;;10.25.30.9;10.25.0.13,10.25.0.14;10.25.30.1;10.25.30.0/27;694;2;4;;;;;Слуднева Екатерина Николаевна;Щербинин Андрей Владимирович;;;;;;Running;25.01.21;13.07.21;false;
CMDB-76808;MMZ-SRV-DFS6;VirtualMachine-vm-32809;;"RDS_FARM1 Profile Storage (Collection ""1С"") DFS_CLUSTER1 Failover Cluster - MMZ-SRV-DFSCL1 User Profile Disks - MMZ-SRV-DFSUPD1";Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS6.npo.izhmash;Продуктив;;10.25.30.7;10.25.0.13,10.25.0.14;10.25.30.1;10.25.30.0/27;2834;2;4;Заводоуправление;;Терминальный доступ;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;8.10.21;false;
CMDB-76807;MMZ-SRV-DFS7;VirtualMachine-vm-32810;;"RDS_FARM1 Profile Storage (Collection ""1С"") DFS_CLUSTER1 Failover Cluster - MMZ-SRV-DFSCL1 User Profile Disks - MMZ-SRV-DFSUPD1";Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS7.npo.izhmash;Продуктив;;10.25.30.8,10.25.30.17,10.25.30.20;10.25.0.13,10.25.0.14;10.25.30.1;10.25.30.0/27;2834;2;4;Заводоуправление;;Терминальный доступ;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;8.10.21;false;
CMDB-90590;MMZ-SRV-DFS8;VirtualMachine-vm-43694;RFC-8097;Файловый сервер дистрибутивов;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS8.npo.izhmash;Продуктив;;10.25.30.194;10.25.0.13,10.25.0.14;10.25.30.193;;984;2;4;Заводоуправление;;Доступ к файлам;;Кокорников Илья Владимирович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;28.02.20;13.07.21;false;
CMDB-305857;MMZ-SRV-DFS9;VirtualMachine-vm-49967;RFC-8334;Файловый сервер для папок обмена;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-DFS9.npo.izhmash;;;10.25.30.196;10.25.0.13,10.25.0.14;10.25.30.193;;224;2;4;;;Доступ к файлам;;Ахмедов Аскер Рамисович;Слуднева Екатерина Николаевна;;;;;;Running;25.01.21;13.07.21;false;
CMDB-76784;MMZ-SRV-DHCP1;VirtualMachine-vm-957;;Управление IP конфигурацией;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-DHCP1.npo.izhmash;Продуктив;;10.25.0.15;10.25.0.13,10.25.0.14;10.25.0.1;10.25.0.0/27;42;2;2;Заводоуправление;;DHCP;;Щербинин Андрей Владимирович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76783;MMZ-SRV-DHCP2;VirtualMachine-vm-958;;Управление IP конфигурацией;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-DHCP2.npo.izhmash;Продуктив;;10.25.0.16;10.25.0.13,10.25.0.14;10.25.0.1;10.25.0.0/27;42;2;2;Заводоуправление;;DHCP;;Щербинин Андрей Владимирович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76898;MMZ-SRV-EKD01;VirtualMachine-vm-3828;;сервер RemoteApp с каталогами запчастей и инструкциями;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-ekd01.npo.izhmash;Продуктив;;10.25.6.18;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;104;2;4;Заводоуправление;;Удалённый доступ (RDS & VPN);;Щербинин Андрей Владимирович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;16.07.21;false;
CMDB-326104;MMZ-SRV-ESTAFF;VirtualMachine-vm-1908;;"Сервер отдела кадров. ПО ""E-Staf""";Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-ESTAFF.npo.izhmash;;;10.25.28.7;10.25.0.13,10.25.0.14;10.25.28.1;10.25.28.0/27;44;1;4;;;Estaff;;Ахмедов Аскер Рамисович;Грибков Алексей Константинович;;;;;;Running;15.06.21;21.07.21;false;
CMDB-76782;MMZ-SRV-EX1;VirtualMachine-vm-966;;Система для обмена электронными письмами;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-EX1.npo.izhmash;Продуктив;;169.254.1.116,10.25.1.12;10.25.0.13,10.25.0.14;10.25.1.1;10.25.1.0/27;3012;8;32;Заводоуправление;;Электронная почта;;Щербинин Андрей Владимирович;Наумов Максим Станиславович [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;7.10.21;false;
CMDB-76781;MMZ-SRV-EX2;VirtualMachine-vm-967;;Система для обмена электронными письмами;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-EX2.npo.izhmash;Продуктив;;169.254.2.152,10.25.1.13;10.25.0.13,10.25.0.14;10.25.1.1;10.25.1.0/27;3312;8;32;Заводоуправление;;Электронная почта;;Щербинин Андрей Владимирович;Наумов Максим Станиславович [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;7.10.21;false;
CMDB-76765;MMZ-SRV-EX99;VirtualMachine-vm-1469;;Система для обмена электронными письмами;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-EX99.npo.izhmash;Продуктив;;10.25.31.6;10.25.0.13,10.25.0.14;10.25.31.1;10.25.31.0/28;42;2;2;Заводоуправление;;Электронная почта;;Щербинин Андрей Владимирович;Наумов Максим Станиславович [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-305995;MMZ-SRV-FTP1;VirtualMachine-vm-87383;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-FTP1.npo.izhmash;;;10.25.30.23;10.25.0.13,10.25.0.14;10.25.30.1;10.25.30.0/27;66;2;6;;;;;Грибков Алексей Константинович;Щербинин Андрей Владимирович;;;;;;Running;25.01.21;13.07.21;false;
CMDB-312763;MMZ-SRV-GIT1;;;;;;;;;;;;18;1;2;;;;;;;;;;;;Stopped;18.02.21;22.04.21;true;
CMDB-76821;MMZ-SRV-HAPRX1;;;HA Proxy Node1;Debian GNU/Linux 10 (64-bit);mmz-srv-haprx1;;;10.25.8.200;127.0.0.1;10.25.8.193;;30;2;4;Заводоуправление;;Телефония;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;9.03.21;true;
CMDB-76844;MMZ-SRV-HAPRX2;;;HA Proxy Node2;Debian GNU/Linux 10 (64-bit);mmz-srv-haprx2;Продуктив;;10.25.8.201,10.25.8.202;127.0.0.1;10.25.8.193;;30;2;4;Заводоуправление;;;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;9.03.21;true;
CMDB-76894;MMZ-SRV-JBR01-Deleted;;;Jabber Server для ОКБ-40;;;Тест;;10.25.1.30;;;;40;1;1;Заводоуправление;;;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;27.01.21;true;
CMDB-76805;MMZ-SRV-KMS1;VirtualMachine-vm-49180;;сервис активации Windows/Office;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-KMS1.npo.izhmash;Продуктив;;10.25.0.10;10.25.0.13,10.25.0.14;10.25.0.1;10.25.0.0/27;56;2;6;Заводоуправление;;KMS;;Щербинин Андрей Владимирович;Грибков Алексей Константинович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76804;MMZ-SRV-KSV2;VirtualMachine-vm-22853;;Система антивирусной защиты;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-KSV2.npo.izhmash;Продуктив;;10.25.2.6;10.25.0.13,10.25.0.14;10.25.2.1;10.25.2.0/28;183;4;8;Заводоуправление;;Антивирус;;Ахмедов Аскер Рамисович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;11.10.21;false;
CMDB-76803;MMZ-SRV-L1C1;VirtualMachine-vm-2869;;Управление лицензиями 1С;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-L1C1.npo.izhmash;Продуктив;;10.25.26.15;10.25.0.13,10.25.0.14;10.25.26.1;10.25.26.0/27;76;8;16;Заводоуправление;;1C лицензии;;Гусляков Владислав Михайлович;Стороженко Олег Николаевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;1.09.21;false;
CMDB-305992;MMZ-SRV-MCMS1;VirtualMachine-vm-57696;RFC-8717;Запрос балансов для симкарт из Билайна и выгрузка отчета в 1С;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-MCMS1.npo.izhmash;;;10.25.30.12;10.25.0.13,10.25.0.14;10.25.30.1;10.25.30.0/27;104;2;4;;;;;Слуднева Екатерина Николаевна;Грибков Алексей Константинович||Щербинин Андрей Владимирович;;;;;;Running;25.01.21;13.07.21;false;
